TIPO;COD_SAP_MATERIAL;MATERIAL;NOME_COMERCIAL;SALDO;FABRICANTE;STATUS_PORTFOLIO;CHIP_COMPATIVEL;TECNOLOGIA;CD;PREVISAO_W1;PREVISAO_W2;PREVISAO_W3;PREVISAO_W4;PREVISAO_W5;VALORATE10X;VALORATE24X;SEGMENTO;TIPO_MATERIAL
;BGAP25243000;APPLE IPAD 11 POL WIFI+CEL 128GB PR;"""Tablet Apple iPad A16 11"""" 128GB - 5G""";116;Apple;Sob Demanda;Nano Sim;5G;DFW1;;;;;;5390;6264;PREÇO UNIFICADO;Aparelho
Tablet;BGAP25243000;APPLE IPAD 11 POL WIFI+CEL 128GB PR;"""Tablet Apple iPad A16 11"""" 128GB - 5G""";116;Apple;Sob Demanda;Nano Sim;5G;DFW1;;;;;;5390;6264;PREÇO UNIFICADO;Aparelho
;BGAP25243000;APPLE IPAD 11 POL WIFI+CEL 128GB PR;"""Tablet Apple iPad A16 11"""" 128GB - 5G""";85;Apple;Sob Demanda;Nano Sim;5G;SPW1;;;;;;5390;6264;PREÇO UNIFICADO;Aparelho
Tablet;BGAP25243000;APPLE IPAD 11 POL WIFI+CEL 128GB PR;"""Tablet Apple iPad A16 11"""" 128GB - 5G""";85;Apple;Sob Demanda;Nano Sim;5G;SPW1;;;;;;5390;6264;PREÇO UNIFICADO;Aparelho
;BGAP25313000;APPLE IPAD 11 POL WIFI+CEL 256GB AZ;"""Tablet Apple iPad A16 11"""" 256GB - 5G""";10;Apple;Sob Demanda;Nano Sim;5G;DFW1;;;;;;6380;7416;PREÇO UNIFICADO;Aparelho
Tablet;BGAP25313000;APPLE IPAD 11 POL WIFI+CEL 256GB AZ;"""Tablet Apple iPad A16 11"""" 256GB - 5G""";10;Apple;Sob Demanda;Nano Sim;5G;DFW1;;;;;;6380;7416;PREÇO UNIFICADO;Aparelho
;BGAP25343000;APPLE IPAD 11 POL WIFI+CEL 256GB PR;"""Tablet Apple iPad A16 11"""" 256GB - 5G""";2;Apple;Sob Demanda;Nano Sim;5G;SPW1;;;;;;6380;7416;PREÇO UNIFICADO;Aparelho
Tablet;BGAP25343000;APPLE IPAD 11 POL WIFI+CEL 256GB PR;"""Tablet Apple iPad A16 11"""" 256GB - 5G""";2;Apple;Sob Demanda;Nano Sim;5G;SPW1;;;;;;6380;7416;PREÇO UNIFICADO;Aparelho
;BGAP259C3000;APPLE IPAD AIR 11 POL WIFI+CEL 128GB CZ;"""Tablet Apple iPad Air 11"""" 128GB - 5G""";2;Apple;Sob Demanda;Nano Sim;5G;SPW1;;;;;;7830;9072;PREÇO UNIFICADO;Aparelho
Tablet;BGAP259C3000;APPLE IPAD AIR 11 POL WIFI+CEL 128GB CZ;"""Tablet Apple iPad Air 11"""" 128GB - 5G""";2;Apple;Sob Demanda;Nano Sim;5G;SPW1;;;;;;7830;9072;PREÇO UNIFICADO;Aparelho
;BGAP260C3000;APPLE IPAD AIR 11 POL WIFI+CEL 256GB CZ;"""Tablet Apple iPad Air 11"""" 256GB - 5G""";1;Apple;Sob Demanda;Nano Sim;5G;DFW1;;;;;;8780;10200;PREÇO UNIFICADO;Aparelho
Tablet;BGAP260C3000;APPLE IPAD AIR 11 POL WIFI+CEL 256GB CZ;"""Tablet Apple iPad Air 11"""" 256GB - 5G""";1;Apple;Sob Demanda;Nano Sim;5G;DFW1;;;;;;8780;10200;PREÇO UNIFICADO;Aparelho
;BGAP260C3000;APPLE IPAD AIR 11 POL WIFI+CEL 256GB CZ;"""Tablet Apple iPad Air 11"""" 256GB - 5G""";1;Apple;Sob Demanda;Nano Sim;5G;SPW1;;;;;;8780;10200;PREÇO UNIFICADO;Aparelho
Tablet;BGAP260C3000;APPLE IPAD AIR 11 POL WIFI+CEL 256GB CZ;"""Tablet Apple iPad Air 11"""" 256GB - 5G""";1;Apple;Sob Demanda;Nano Sim;5G;SPW1;;;;;;8780;10200;PREÇO UNIFICADO;Aparelho
;BGAP256C3000;APPLE IPAD AIR 13 POL WIFI+CEL 256GB CZ;"""Tablet Apple iPad Air 13"""" 256GB - 5G""";5;Apple;Sob Demanda;Nano Sim;5G;DFW1;;;;;;10900;12648;PREÇO UNIFICADO;Aparelho
Tablet;BGAP256C3000;APPLE IPAD AIR 13 POL WIFI+CEL 256GB CZ;"""Tablet Apple iPad Air 13"""" 256GB - 5G""";5;Apple;Sob Demanda;Nano Sim;5G;DFW1;;;;;;10900;12648;PREÇO UNIFICADO;Aparelho
;BGAP29043000;APPLE IPAD PRO 13 POL M5 WF+CEL 256GB PR;"""Tablet Apple iPad Pro M5 13"""" 256GB - 5G""";4;Apple;Sob Demanda;Nano Sim;5G;DFW1;;;;;;15810;18336;PREÇO UNIFICADO;Aparelho
Tablet;BGAP29043000;APPLE IPAD PRO 13 POL M5 WF+CEL 256GB PR;"""Tablet Apple iPad Pro M5 13"""" 256GB - 5G""";4;Apple;Sob Demanda;Nano Sim;5G;DFW1;;;;;;15810;18336;PREÇO UNIFICADO;Aparelho
;DGAP20312000;APPLE IPHONE 15 256GB N AZ;SmartPhone Apple Iphone 15 256GB - 5G;76;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;4960;5760;PREÇO UNIFICADO;Aparelho
Smartphone;DGAP20312000;APPLE IPHONE 15 256GB N AZ;SmartPhone Apple Iphone 15 256GB - 5G;76;Apple;Portfólio Vigente;Nano Sim;5G;DFW1;;;;;;4960;5760;PREÇO UNIFICADO;Aparelho
;DGAP20312000;APPLE IPHONE 15 256GB N AZ;SmartPhone Apple Iphone 15 256GB - 5G;66;Apple;Portfólio Vigente;Nano Sim;5G;SPW1;;;;;;4960;5760;PREÇO UNIFICADO;Aparelho
